timestamp,date,open,volume,change
2025-10-05 00:08:52.000,2025-10-05,122342.37475841086,34863966292.554436,-0.0706662248156853
2025-10-05 00:01:39.347,2025-10-05,122428.89063350529,34849439420.54489,0.09134730762319077
2025-10-04 23:01:59.170,2025-10-04,122317.15720363855,35804303691.43797,0.071916970183028
2025-10-04 22:02:01.545,2025-10-04,122229.25362775213,36233802297.072495,0.2028710343446649
2025-10-04 21:02:04.831,2025-10-04,121981.7879129011,36244418904.760376,0.010713723128663588
2025-10-04 20:01:19.612,2025-10-04,121968.72052188081,37753035853.6436,0.31668191806655255
2025-10-04 19:02:26.584,2025-10-04,121583.68696992841,40085046234.31524,-0.13140660908919077
2025-10-04 18:02:30.056,2025-10-04,121743.66619345409,43705733771.45556,0.026100660483008298
2025-10-04 17:01:55.892,2025-10-04,121711.89858403725,51911018277.15554,-0.14067317550613412
2025-10-04 16:02:24.946,2025-10-04,121883.35577101377,62803843839.870445,-0.1707030010704269
2025-10-04 15:00:06.224,2025-10-04,122091.77008661162,66802177060.30172,-0.2827260091052164
2025-10-04 14:01:27.128,2025-10-04,122437.93397095859,69599151217.75127,0.3154105757803505
2025-10-04 13:02:30.397,2025-10-04,122052.9660081154,72302794078.3185,-0.010242231408374991
2025-10-04 12:00:50.253,2025-10-04,122065.46823584184,72606771271.08185,-0.08690940547488868
2025-10-04 11:01:48.809,2025-10-04,122171.64688781092,73134470522.98842,-0.07876373351867194
2025-10-04 10:02:51.005,2025-10-04,122267.9496898834,75184339745.02211,-0.042042561619493046
2025-10-04 09:01:32.347,2025-10-04,122319.37588886406,77000199908.10083,-0.0018814841388770098
2025-10-04 08:01:58.665,2025-10-04,122321.67735182184,79062488890.86073,-0.14199319680038291
2025-10-04 07:02:10.790,2025-10-04,122495.61278836025,82325119191.86043,-0.12288713846745347
2025-10-04 06:01:54.300,2025-10-04,122646.32935293744,82341375773.88304,0.07669950882105425
2025-10-04 05:01:43.538,2025-10-04,122552.33231600233,81344944407.13565,0.21364308150044753
2025-10-04 04:01:51.072,2025-10-04,122291.0659143831,81893455365.98709,0.2913410090888968
2025-10-04 03:02:20.966,2025-10-04,121935.8168750585,82406196331.61562,-0.01363219742549493
2025-10-04 02:06:06.715,2025-10-04,121952.44167267253,82455678025.31012,-0.1617842769354505
2025-10-04 01:05:58.915,2025-10-04,122150.06126606805,82596711777.71758,-0.11845393588530984
2025-10-04 00:05:40.641,2025-10-04,122294.92441742845,82671538752.18507,-0.19836250323927995
2025-10-03 23:01:54.069,2025-10-03,122537.99384944742,84070891085.43182,0.1187331093041033
2025-10-03 22:01:47.551,2025-10-03,122392.67322296939,84929627696.68956,-0.1845321674912026
2025-10-03 21:01:57.118,2025-10-03,122618.9446192301,85375045932.62845,-0.10753801769511906
2025-10-03 20:01:57.157,2025-10-03,122750.94855600919,84856406388.03346,0.21060739572025255
2025-10-03 19:01:37.995,2025-10-03,122492.96930341884,86100701595.68146,0.29814345355354543
2025-10-03 18:01:12.265,2025-10-03,122128.8501318505,84365524364.04333,-0.6969187395626353
2025-10-03 17:01:57.416,2025-10-03,122985.9623505026,78562187928.63762,0.48632812504667555
2025-10-03 16:01:19.410,2025-10-03,122390.74175091466,72042074974.56108,1.176326093347413
2025-10-03 15:00:48.049,2025-10-03,120967.76635079077,69065523550.76868,0.45076778393733363
2025-10-03 14:01:34.498,2025-10-03,120424.92956448485,69408659934.52345,-0.0053903592101112174
2025-10-03 13:01:29.239,2025-10-03,120431.4212506921,70508395414.72258,0.01789836323513594
2025-10-03 12:01:29.814,2025-10-03,120409.86985481453,71832912558.06154,-0.09077267618242679
2025-10-03 11:02:14.745,2025-10-03,120519.26842007492,71794093213.57314,0.12341223910621313
2025-10-03 10:06:14.372,2025-10-03,120370.71622395476,71471036536.77403,0.306023266770028
2025-10-03 09:02:27.778,2025-10-03,120003.47766137778,68457026408.38166,0.2236694320589372
2025-10-03 08:02:11.193,2025-10-03,119735.66557820702,65963489878.15732,-0.1440219463000325
2025-10-03 07:01:25.645,2025-10-03,119908.35993195747,64068912741.362755,-0.05589782694525036
2025-10-03 06:01:36.822,2025-10-03,119975.42358661075,64002498071.99221,-0.12340253515238375
2025-10-03 05:02:23.326,2025-10-03,120123.65922741519,64613096574.01271,-0.20161290528037945
2025-10-03 04:02:03.940,2025-10-03,120366.33328893849,64703629385.5381,0.1565816023366251
2025-10-03 03:02:01.597,2025-10-03,120178.15640597939,65273918770.41006,0.1358290185634603
2025-10-03 02:06:30.159,2025-10-03,120015.14101780736,65984242469.2436,-0.1776423796295834
2025-10-03 01:06:02.120,2025-10-03,120228.71817376939,66232398987.307236,-0.23719925604489545
2025-10-03 00:01:40.573,2025-10-03,120514.57785586915,70708858533.94963,0.29079216518290707
2025-10-02 23:02:14.294,2025-10-02,120165.1470230456,72168715153.93767,-0.029472986958933856
2025-10-02 22:01:46.747,2025-10-02,120200.57372246339,72266146750.62857,-0.26825891979810335
2025-10-02 21:02:18.021,2025-10-02,120523.88980735927,71893586151.70308,-0.23429224359174938
2025-10-02 20:01:54.064,2025-10-02,120806.93107659295,71074288737.88626,0.17935322297741862
2025-10-02 19:00:35.657,2025-10-02,120590.64786304125,68157144420.20197,0.5156844335080457
2025-10-02 18:01:55.663,2025-10-02,119971.9710835904,66198696909.38652,0.0379637791928511
