timestamp,date,open,high,low,close,volume
2025-08-06 02:08:08.279,2025-08-06,113813.9280338145,113813.9280338145,113813.9280338145,113813.9280338145,37124860523.15456
2025-08-06 03:08:46.560,2025-08-06,113604.50176946135,113604.50176946135,113604.50176946135,113604.50176946135,37044372557.079926
2025-08-06 04:09:30.005,2025-08-06,113515.52646149156,113515.52646149156,113515.52646149156,113515.52646149156,36394271231.63658
2025-08-06 05:09:38.950,2025-08-06,113469.76685342751,113469.76685342751,113469.76685342751,113469.76685342751,35917003845.74026
2025-08-06 06:00:36.630,2025-08-06,114133.76134354107,114133.76134354107,114133.76134354107,114133.76134354107,36556974264.32639
2025-08-06 07:09:29.188,2025-08-06,114083.75359698298,114083.75359698298,114083.75359698298,114083.75359698298,36625119705.601395
2025-08-06 08:09:16.491,2025-08-06,114200.39206687103,114200.39206687103,114200.39206687103,114200.39206687103,35424631352.09035
2025-08-06 09:00:40.826,2025-08-06,113881.6747222235,113881.6747222235,113881.6747222235,113881.6747222235,35372752096.535446
2025-08-06 10:04:52.825,2025-08-06,114123.58751131837,114123.58751131837,114123.58751131837,114123.58751131837,35317239152.78443
2025-08-06 11:02:39.346,2025-08-06,114036.83776300622,114036.83776300622,114036.83776300622,114036.83776300622,34887181159.87268
2025-08-06 12:09:10.543,2025-08-06,114197.2019483257,114197.2019483257,114197.2019483257,114197.2019483257,34949741811.57334
2025-08-06 13:04:11.396,2025-08-06,113924.32949619247,113924.32949619247,113924.32949619247,113924.32949619247,33833548814.934418
2025-08-06 14:08:06.527,2025-08-06,114359.67744797317,114359.67744797317,114359.67744797317,114359.67744797317,34095683626.3752
2025-08-06 15:10:21.778,2025-08-06,114949.5358265943,114949.5358265943,114949.5358265943,114949.5358265943,32360380025.834854
2025-08-06 16:09:34.077,2025-08-06,115436.22087606041,115436.22087606041,115436.22087606041,115436.22087606041,32341917589.846664
2025-08-06 17:09:07.068,2025-08-06,115134.51955320737,115134.51955320737,115134.51955320737,115134.51955320737,32869932251.234215
2025-08-06 18:05:36.003,2025-08-06,115562.50422275848,115562.50422275848,115562.50422275848,115562.50422275848,32860754764.29253
2025-08-06 19:10:54.865,2025-08-06,115487.57188752058,115487.57188752058,115487.57188752058,115487.57188752058,32726059647.243435
2025-08-06 20:09:19.678,2025-08-06,115210.4082635344,115210.4082635344,115210.4082635344,115210.4082635344,32670773396.200428
2025-08-06 21:09:46.663,2025-08-06,115110.79069298925,115110.79069298925,115110.79069298925,115110.79069298925,32206309914.20193
2025-08-06 22:09:44.856,2025-08-06,115114.78249583267,115114.78249583267,115114.78249583267,115114.78249583267,32732574398.543716
2025-08-06 23:08:08.324,2025-08-06,115132.54695069448,115132.54695069448,115132.54695069448,115132.54695069448,32278913052.277527
2025-08-07 00:09:21.420,2025-08-07,115013.39140866173,115013.39140866173,115013.39140866173,115013.39140866173,32048119066.60145
2025-08-07 01:09:16.956,2025-08-07,114913.5081296208,114913.5081296208,114913.5081296208,114913.5081296208,31290344185.921337
2025-08-07 02:09:47.749,2025-08-07,114721.05007059002,114721.05007059002,114721.05007059002,114721.05007059002,31538860014.69982
2025-08-07 03:03:39.154,2025-08-07,114559.34856443222,114559.34856443222,114559.34856443222,114559.34856443222,31906331496.93629
2025-08-07 04:08:58.186,2025-08-07,114594.58421534985,114594.58421534985,114594.58421534985,114594.58421534985,31655259722.754047
2025-08-07 05:04:20.547,2025-08-07,114334.98210264335,114334.98210264335,114334.98210264335,114334.98210264335,30962252295.258038
2025-08-07 06:01:41.957,2025-08-07,114556.38274863134,114556.38274863134,114556.38274863134,114556.38274863134,31084053715.68414
2025-08-07 07:06:07.027,2025-08-07,114733.2566992642,114733.2566992642,114733.2566992642,114733.2566992642,31302305029.60208
2025-08-07 08:08:46.545,2025-08-07,114905.20821081402,114905.20821081402,114905.20821081402,114905.20821081402,31414958578.640194
2025-08-07 09:04:17.257,2025-08-07,114988.66977802393,114988.66977802393,114988.66977802393,114988.66977802393,30997975767.72014
2025-08-07 10:09:17.525,2025-08-07,115244.20361026183,115244.20361026183,115244.20361026183,115244.20361026183,31158661804.364452
2025-08-07 11:04:34.700,2025-08-07,116385.93840713195,116385.93840713195,116385.93840713195,116385.93840713195,33345296795.755867
2025-08-07 12:04:32.635,2025-08-07,116594.2851435067,116594.2851435067,116594.2851435067,116594.2851435067,35332972030.90617
2025-08-07 13:04:24.207,2025-08-07,116274.73753690078,116274.73753690078,116274.73753690078,116274.73753690078,36376521603.048965
2025-08-07 14:09:21.467,2025-08-07,116539.36847358629,116539.36847358629,116539.36847358629,116539.36847358629,36261373991.022964
2025-08-07 15:01:37.052,2025-08-07,116351.84111129945,116351.84111129945,116351.84111129945,116351.84111129945,36152820566.95471
2025-08-07 16:09:28.622,2025-08-07,116725.63224298047,116725.63224298047,116725.63224298047,116725.63224298047,34338347370.13309
2025-08-07 17:09:17.514,2025-08-07,116273.87314715952,116273.87314715952,116273.87314715952,116273.87314715952,33971515357.611668
2025-08-07 18:04:16.216,2025-08-07,116486.99012273956,116486.99012273956,116486.99012273956,116486.99012273956,34992214581.5381
2025-08-07 19:09:41.453,2025-08-07,116575.81258319659,116575.81258319659,116575.81258319659,116575.81258319659,34119035009.06495
2025-08-07 20:09:32.315,2025-08-07,117425.45135500061,117425.45135500061,117425.45135500061,117425.45135500061,36527097508.27452
2025-08-07 21:06:25.613,2025-08-07,117239.23556781831,117239.23556781831,117239.23556781831,117239.23556781831,37104878504.69259
2025-08-07 22:09:00.095,2025-08-07,117166.47996245255,117166.47996245255,117166.47996245255,117166.47996245255,37140631118.51839
2025-08-07 23:03:31.455,2025-08-07,117596.49139855335,117596.49139855335,117596.49139855335,117596.49139855335,38077479262.45592
2025-08-08 00:04:50.877,2025-08-08,117466.18082017908,117466.18082017908,117466.18082017908,117466.18082017908,38381202499.50631
2025-08-08 01:04:19.212,2025-08-08,117310.75213931722,117310.75213931722,117310.75213931722,117310.75213931722,40974002105.705284
2025-08-08 02:00:28.371,2025-08-08,116881.55866056273,116881.55866056273,116881.55866056273,116881.55866056273,36271288554.95881
2025-08-08 03:09:10.600,2025-08-08,116755.37105082296,116755.37105082296,116755.37105082296,116755.37105082296,38856964025.56005
2025-08-08 04:00:23.065,2025-08-08,116742.99045895677,116742.99045895677,116742.99045895677,116742.99045895677,39461498546.46167
2025-08-08 05:04:15.771,2025-08-08,116766.05584500499,116766.05584500499,116766.05584500499,116766.05584500499,37063206241.856186
2025-08-08 06:04:35.218,2025-08-08,116572.41432240925,116572.41432240925,116572.41432240925,116572.41432240925,39381273182.99897
2025-08-08 07:08:51.305,2025-08-08,116691.75695923333,116691.75695923333,116691.75695923333,116691.75695923333,39781272349.03035
2025-08-08 08:09:11.085,2025-08-08,116800.73729288855,116800.73729288855,116800.73729288855,116800.73729288855,42936726063.014946
2025-08-08 09:09:11.866,2025-08-08,116587.1807109026,116587.1807109026,116587.1807109026,116587.1807109026,43034375048.059746
2025-08-08 10:04:16.081,2025-08-08,116719.3073902658,116719.3073902658,116719.3073902658,116719.3073902658,43074244311.090355
2025-08-08 11:09:46.830,2025-08-08,116600.51291308948,116600.51291308948,116600.51291308948,116600.51291308948,39595985818.090256
2025-08-08 12:09:51.700,2025-08-08,116872.29845057597,116872.29845057597,116872.29845057597,116872.29845057597,37731748285.74796
2025-08-08 13:09:26.051,2025-08-08,116542.53255293934,116542.53255293934,116542.53255293934,116542.53255293934,36465388547.60284
2025-08-08 14:09:29.170,2025-08-08,117038.26682924244,117038.26682924244,117038.26682924244,117038.26682924244,36392154901.87994
2025-08-08 15:09:34.174,2025-08-08,116473.45860121376,116473.45860121376,116473.45860121376,116473.45860121376,36795417720.13156
2025-08-08 16:04:07.534,2025-08-08,116170.27552758016,116170.27552758016,116170.27552758016,116170.27552758016,37285113623.31424
2025-08-08 17:04:52.558,2025-08-08,116220.37014094324,116220.37014094324,116220.37014094324,116220.37014094324,36558215357.25682
2025-08-08 18:04:29.600,2025-08-08,116666.67964128975,116666.67964128975,116666.67964128975,116666.67964128975,34175055272.480247
2025-08-08 19:04:14.221,2025-08-08,116506.94482165811,116506.94482165811,116506.94482165811,116506.94482165811,36897326252.53285
2025-08-08 20:04:00.556,2025-08-08,116449.75033943536,116449.75033943536,116449.75033943536,116449.75033943536,35420921029.85885
2025-08-08 21:09:38.840,2025-08-08,116834.12792892547,116834.12792892547,116834.12792892547,116834.12792892547,34935302303.970856
2025-08-08 22:02:52.050,2025-08-08,116951.43064524583,116951.43064524583,116951.43064524583,116951.43064524583,34791774607.17924
2025-08-08 23:05:57.409,2025-08-08,116895.02084894278,116895.02084894278,116895.02084894278,116895.02084894278,31459206566.209084
2025-08-09 00:06:47.589,2025-08-09,116686.72473635004,116686.72473635004,116686.72473635004,116686.72473635004,33091407472.31744
2025-08-09 01:09:28.000,2025-08-09,116611.67486663083,116611.67486663083,116611.67486663083,116611.67486663083,31253756117.870483
2025-08-09 02:09:05.258,2025-08-09,116566.64327820552,116566.64327820552,116566.64327820552,116566.64327820552,29453184972.402847
2025-08-09 03:04:22.156,2025-08-09,116441.19539824275,116441.19539824275,116441.19539824275,116441.19539824275,29001734108.12723
2025-08-09 04:03:56.094,2025-08-09,116397.67926922366,116397.67926922366,116397.67926922366,116397.67926922366,28333295817.20548
2025-08-09 05:09:05.226,2025-08-09,116423.53362042307,116423.53362042307,116423.53362042307,116423.53362042307,28626940322.38916
2025-08-09 06:09:43.458,2025-08-09,116708.22561872333,116708.22561872333,116708.22561872333,116708.22561872333,30234437030.652073
2025-08-09 07:04:46.588,2025-08-09,116653.89502137293,116653.89502137293,116653.89502137293,116653.89502137293,30291196923.829845
2025-08-09 08:09:55.122,2025-08-09,116768.27206611432,116768.27206611432,116768.27206611432,116768.27206611432,28887782823.495247
2025-08-09 09:09:39.954,2025-08-09,117077.76520803696,117077.76520803696,117077.76520803696,117077.76520803696,29315368263.87168
2025-08-09 10:11:12.754,2025-08-09,117533.0938367717,117533.0938367717,117533.0938367717,117533.0938367717,30030694434.40964
2025-08-09 11:04:23.919,2025-08-09,117441.67571151303,117441.67571151303,117441.67571151303,117441.67571151303,31320813153.436443
2025-08-09 12:09:31.285,2025-08-09,117108.46189936704,117108.46189936704,117108.46189936704,117108.46189936704,31656688211.514797
2025-08-09 13:01:35.758,2025-08-09,117097.50306534256,117097.50306534256,117097.50306534256,117097.50306534256,31654744614.885586
2025-08-09 14:00:57.348,2025-08-09,116996.92141091316,116996.92141091316,116996.92141091316,116996.92141091316,31368376902.0022
2025-08-09 15:04:23.441,2025-08-09,116965.931269068,116965.931269068,116965.931269068,116965.931269068,29731338163.6267
2025-08-09 16:04:30.776,2025-08-09,116845.40417692252,116845.40417692252,116845.40417692252,116845.40417692252,29069262994.944294
2025-08-09 17:03:27.918,2025-08-09,116667.73371007525,116667.73371007525,116667.73371007525,116667.73371007525,28716655838.949287
2025-08-09 18:09:00.518,2025-08-09,116660.84198406573,116660.84198406573,116660.84198406573,116660.84198406573,28214440360.349937
2025-08-09 19:08:36.104,2025-08-09,116647.05734217919,116647.05734217919,116647.05734217919,116647.05734217919,26951577324.78275
2025-08-09 20:09:30.112,2025-08-09,116541.07584253287,116541.07584253287,116541.07584253287,116541.07584253287,26412845933.74825
2025-08-09 21:09:42.014,2025-08-09,116772.10508620345,116772.10508620345,116772.10508620345,116772.10508620345,27357651827.322956
2025-08-09 22:00:52.671,2025-08-09,116558.88597472935,116558.88597472935,116558.88597472935,116558.88597472935,27655330525.38579
2025-08-09 23:03:31.847,2025-08-09,116566.51461542826,116566.51461542826,116566.51461542826,116566.51461542826,27408872586.289906
2025-08-10 00:04:22.718,2025-08-10,116500.75461167548,116500.75461167548,116500.75461167548,116500.75461167548,26325306630.626644
2025-08-10 01:04:44.413,2025-08-10,116751.1710115442,116751.1710115442,116751.1710115442,116751.1710115442,28103053274.2696
2025-08-10 02:09:51.382,2025-08-10,116590.00131863818,116590.00131863818,116590.00131863818,116590.00131863818,27981901269.512142
2025-08-10 03:09:40.062,2025-08-10,117185.6437180893,117185.6437180893,117185.6437180893,117185.6437180893,28059291532.336197
2025-08-10 04:09:40.094,2025-08-10,118538.65921139685,118538.65921139685,118538.65921139685,118538.65921139685,33334835740.804104
2025-08-10 05:05:34.524,2025-08-10,118475.54198995137,118475.54198995137,118475.54198995137,118475.54198995137,33886596916.38947
2025-08-10 06:08:46.539,2025-08-10,118131.42066249595,118131.42066249595,118131.42066249595,118131.42066249595,32782677314.742798
2025-08-10 07:02:32.178,2025-08-10,118090.62338617022,118090.62338617022,118090.62338617022,118090.62338617022,33408549470.167046
2025-08-10 08:09:49.498,2025-08-10,117703.56878418477,117703.56878418477,117703.56878418477,117703.56878418477,34405078038.78227
2025-08-10 09:04:25.722,2025-08-10,118334.58450952364,118334.58450952364,118334.58450952364,118334.58450952364,33944618646.15598
2025-08-10 10:03:31.843,2025-08-10,118274.41454652132,118274.41454652132,118274.41454652132,118274.41454652132,34012968955.55724
2025-08-10 11:06:37.087,2025-08-10,118029.60218713529,118029.60218713529,118029.60218713529,118029.60218713529,30291818105.35538
2025-08-10 12:09:20.429,2025-08-10,118379.76563177402,118379.76563177402,118379.76563177402,118379.76563177402,30875942430.69914
2025-08-10 13:08:50.283,2025-08-10,118555.1485677981,118555.1485677981,118555.1485677981,118555.1485677981,33526669470.4102
2025-08-10 14:08:45.387,2025-08-10,118525.12058429095,118525.12058429095,118525.12058429095,118525.12058429095,33631290337.83739
2025-08-10 15:04:12.516,2025-08-10,118769.18117027791,118769.18117027791,118769.18117027791,118769.18117027791,34206992171.353424
2025-08-10 16:08:52.375,2025-08-10,118850.97436498552,118850.97436498552,118850.97436498552,118850.97436498552,35186670739.71053
2025-08-10 17:04:57.659,2025-08-10,118651.23706385492,118651.23706385492,118651.23706385492,118651.23706385492,35094859360.89574
2025-08-10 18:03:00.796,2025-08-10,118529.32474061087,118529.32474061087,118529.32474061087,118529.32474061087,35315212010.15249
2025-08-10 19:08:53.556,2025-08-10,118544.25854208015,118544.25854208015,118544.25854208015,118544.25854208015,35128746036.13187
2025-08-10 20:08:34.773,2025-08-10,118667.49106893358,118667.49106893358,118667.49106893358,118667.49106893358,34708768788.24758
2025-08-10 21:09:58.195,2025-08-10,118199.18286311012,118199.18286311012,118199.18286311012,118199.18286311012,35700655779.13049
2025-08-10 22:09:35.415,2025-08-10,118706.00947854224,118706.00947854224,118706.00947854224,118706.00947854224,31814759558.017567
2025-08-10 23:03:50.568,2025-08-10,119034.73953042638,119034.73953042638,119034.73953042638,119034.73953042638,35754521257.98267
2025-08-11 00:06:07.824,2025-08-11,119248.44827754395,119248.44827754395,119248.44827754395,119248.44827754395,37327174129.9249
2025-08-11 01:08:22.244,2025-08-11,119164.91952585697,119164.91952585697,119164.91952585697,119164.91952585697,38417851063.024
2025-08-11 02:03:48.310,2025-08-11,119884.43571196456,119884.43571196456,119884.43571196456,119884.43571196456,36930529528.25504
2025-08-11 03:09:41.482,2025-08-11,121778.22038654986,121778.22038654986,121778.22038654986,121778.22038654986,45474630487.536095
2025-08-11 04:08:59.973,2025-08-11,121768.13958561119,121768.13958561119,121768.13958561119,121768.13958561119,44418550038.47063
2025-08-11 05:04:53.796,2025-08-11,122019.47351481064,122019.47351481064,122019.47351481064,122019.47351481064,45340440206.12131
2025-08-11 06:02:18.822,2025-08-11,122002.44532495784,122002.44532495784,122002.44532495784,122002.44532495784,46052489012.97002
2025-08-11 07:04:47.460,2025-08-11,122227.46933490643,122227.46933490643,122227.46933490643,122227.46933490643,46814026887.577896
2025-08-11 08:09:11.260,2025-08-11,121429.25321241302,121429.25321241302,121429.25321241302,121429.25321241302,47417350525.94148
2025-08-11 09:13:59.934,2025-08-11,121631.06594087846,121631.06594087846,121631.06594087846,121631.06594087846,48862419722.96345
2025-08-11 10:04:11.872,2025-08-11,121335.5774995321,121335.5774995321,121335.5774995321,121335.5774995321,49617085615.82952
2025-08-11 11:05:00.657,2025-08-11,121120.14375587818,121120.14375587818,121120.14375587818,121120.14375587818,50504578101.41549
2025-08-11 12:04:23.615,2025-08-11,120483.17470655062,120483.17470655062,120483.17470655062,120483.17470655062,52570295714.911766
2025-08-11 13:08:17.602,2025-08-11,119580.94978885303,119580.94978885303,119580.94978885303,119580.94978885303,51521792793.06391
2025-08-11 14:04:08.584,2025-08-11,119923.9513771743,119923.9513771743,119923.9513771743,119923.9513771743,53566800134.68958
2025-08-11 15:09:39.853,2025-08-11,120124.3733013551,120124.3733013551,120124.3733013551,120124.3733013551,57841855387.36973
2025-08-11 16:09:27.208,2025-08-11,120305.33180520462,120305.33180520462,120305.33180520462,120305.33180520462,58087075902.68849
2025-08-11 17:04:30.933,2025-08-11,120014.11846292738,120014.11846292738,120014.11846292738,120014.11846292738,55700956891.074394
2025-08-11 18:08:12.745,2025-08-11,119380.19328770376,119380.19328770376,119380.19328770376,119380.19328770376,56772104115.92019
2025-08-11 19:04:24.100,2025-08-11,119751.57500679207,119751.57500679207,119751.57500679207,119751.57500679207,56181443664.69194
2025-08-11 20:04:33.741,2025-08-11,118883.52381840459,118883.52381840459,118883.52381840459,118883.52381840459,62685400734.06368
2025-08-11 21:03:01.862,2025-08-11,118962.10530010339,118962.10530010339,118962.10530010339,118962.10530010339,62011066380.74919
2025-08-11 22:09:18.187,2025-08-11,118589.49279908501,118589.49279908501,118589.49279908501,118589.49279908501,63619200911.29314
2025-08-11 23:08:06.940,2025-08-11,118817.45636188111,118817.45636188111,118817.45636188111,118817.45636188111,62893664619.09909
2025-08-12 00:02:30.989,2025-08-12,118726.76097608739,118726.76097608739,118726.76097608739,118726.76097608739,62158120175.53192
2025-08-12 01:09:46.825,2025-08-12,118904.68279550895,118904.68279550895,118904.68279550895,118904.68279550895,57441150613.10207
2025-08-12 02:14:30.494,2025-08-12,118967.3797304084,118967.3797304084,118967.3797304084,118967.3797304084,58447573512.6595
2025-08-12 03:08:49.156,2025-08-12,119064.83105236376,119064.83105236376,119064.83105236376,119064.83105236376,54032969124.470024
2025-08-12 04:02:18.283,2025-08-12,118826.43996825363,118826.43996825363,118826.43996825363,118826.43996825363,52160368792.156334
2025-08-12 05:08:46.992,2025-08-12,118875.11404789456,118875.11404789456,118875.11404789456,118875.11404789456,51108285007.63025
2025-08-12 06:08:59.637,2025-08-12,118818.97863462681,118818.97863462681,118818.97863462681,118818.97863462681,50074257066.67925
2025-08-12 07:08:53.374,2025-08-12,118904.74241103428,118904.74241103428,118904.74241103428,118904.74241103428,50308452646.17006
2025-08-12 08:09:12.109,2025-08-12,118924.78864370867,118924.78864370867,118924.78864370867,118924.78864370867,49363287462.374985
2025-08-12 09:09:39.472,2025-08-12,118838.07911439084,118838.07911439084,118838.07911439084,118838.07911439084,49738262341.54896
2025-08-12 10:10:38.222,2025-08-12,118378.15935892852,118378.15935892852,118378.15935892852,118378.15935892852,49427094781.510895
2025-08-12 11:01:38.822,2025-08-12,118478.058371425,118478.058371425,118478.058371425,118478.058371425,49292650064.772064
2025-08-12 12:02:37.488,2025-08-12,118506.5836448425,118506.5836448425,118506.5836448425,118506.5836448425,47055615314.977295
2025-08-12 13:03:23.555,2025-08-12,119166.56754782685,119166.56754782685,119166.56754782685,119166.56754782685,42508684034.57971
2025-08-12 14:10:17.546,2025-08-12,118903.58407259917,118903.58407259917,118903.58407259917,118903.58407259917,45072263216.69543
2025-08-12 15:05:46.212,2025-08-12,119433.34179634372,119433.34179634372,119433.34179634372,119433.34179634372,47301346319.96885
2025-08-12 16:07:17.754,2025-08-12,119934.61846238268,119934.61846238268,119934.61846238268,119934.61846238268,44650178233.996956
2025-08-12 17:04:22.749,2025-08-12,119630.36049684513,119630.36049684513,119630.36049684513,119630.36049684513,44518440476.83984
2025-08-12 18:04:40.662,2025-08-12,119308.49414708451,119308.49414708451,119308.49414708451,119308.49414708451,47568847387.00169
2025-08-12 19:09:39.745,2025-08-12,119411.01075640788,119411.01075640788,119411.01075640788,119411.01075640788,47557399592.670845
2025-08-12 20:11:50.274,2025-08-12,119625.03938550693,119625.03938550693,119625.03938550693,119625.03938550693,46737216570.08374
2025-08-12 21:09:59.728,2025-08-12,120016.48317663175,120016.48317663175,120016.48317663175,120016.48317663175,47505901365.54906
2025-08-12 22:09:30.769,2025-08-12,119804.27106209096,119804.27106209096,119804.27106209096,119804.27106209096,46908438206.45949
2025-08-12 23:09:30.601,2025-08-12,119999.15738034059,119999.15738034059,119999.15738034059,119999.15738034059,46423403789.595924
2025-08-13 00:10:07.169,2025-08-13,120106.09706605313,120106.09706605313,120106.09706605313,120106.09706605313,47100957328.9395
2025-08-13 01:00:50.255,2025-08-13,119719.17942452389,119719.17942452389,119719.17942452389,119719.17942452389,46836028818.95294
2025-08-13 02:08:16.676,2025-08-13,119344.75267924949,119344.75267924949,119344.75267924949,119344.75267924949,47137781376.233376
